87  1998-02-24 06:59:45.300 24.4027 121.6867 30 3.95
88  1998-03-11 06:00:08.100 22.3562 122.3018 30 4.44
89  1998-03-11 17:21:54.900 22.4448 122.2588 30 4.98
90  1998-04-19 10:06:27.0 24.3902 121.7083 30 4.07
91  1998-04-28 07:09:00.900 23.9682 121.6863 24 3.78
92  1998-05-02 00:05:53.0 21.7193 121.0953 24 4.6
93  1998-05-02 05:37:42.400 24.5607 122.558 84 4.81
94  1998-05-09 20:53:39.0 24.8233 121.907 72 4.7
95  1998-05-15 08:50:28.500 23.9608 121.7205 39 4.19
96  1998-05-17 16:36:01.200 24.083 121.532 27 3.98
97  1998-05-30 06:22:38.300 24.2687 122.129 57 4.61
98  1998-07-06 11:33:54.200 24.3522 122.8712 39 4.2
99  1998-07-11 18:23:14.900 24.3667 122.035 21 3.87
100  1998-07-17 04:51:15.0 23.5027 120.6625 12 5.66
101  1998-07-17 18:44:39.900 24.0613 121.6927 15 4.53
102  1998-07-18 17:02:39.700 23.5128 120.6938 12 4.3
103  1998-07-19 17:58:31.900 23.5277 121.6682 36 4.32
104  1998-07-20 16:35:24.900 24.0845 122.0952 21 4.53
105  1998-07-24 18:44:03.0 21.6323 121.8397 12 5.94
106  1998-07-30 08:15:41.100 22.9328 121.411 15 3.82
107  1998-07-31 09:23:26.300 24.7613 122.8728 111 4.64
108  1998-08-11 02:07:49.800 24.851 123.3353 129 5.19
109  1998-08-13 01:05:31.100 24.4678 122.9727 81 3.93
110  1998-08-15 00:15:43.300 24.3903 122.7723 24 3.96
111  1998-08-16 11:13:03.800 23.2027 120.5317 12 4.36
112  1998-08-25 02:49:31.200 24.6168 122.5297 15 4.5
113  1998-09-04 10:40:50.600 23.914 121.5765 18 4.47
114  1998-09-09 17:54:00.800 23.0997 121.5287 36 3.83
115  1998-09-10 06:46:06.400 22.6363 120.6582 15 4.28
116  1998-09-12 06:53:08.500 24.4333 122.6135 42 4.09
117  1998-09-13 05:34:48.300 24.2365 123.0145 33 5.09
118  1998-09-16 04:56:11.200 23.836 120.8395 27 3.83
119  1998-09-21 16:29:37.300 23.9357 121.5493 15 4.05
120  1998-09-27 17:02:22.0 24.4765 122.4208 51 4.05
121  1998-09-28 08:57:19.900 21.0887 122.1145 36 4.73
122  1998-10-09 12:52:51.500 22.1202 121.6467 27 4.82
123  1998-10-11 04:56:34.800 23.892 121.7135 45 3.77
124  1998-10-13 16:54:18.0 21.856 121.4977 24 4.1
125  1998-10-17 23:11:09.700 24.8235 122.0067 27 4.47
126  1998-11-03 07:06:37.500 22.1483 121.1452 36 4.73
127  1998-11-17 22:27:32.500 22.8322 120.7903 24 5.25
128  1998-11-19 10:30:02.200 23.7887 121.7715 48 4.3
129  1998-11-26 22:12:19.300 25.06 122.5112 159 4.64
130  1998-12-14 00:59:03.300 24.2915 122.1558 48 4.43
131  1998-12-22 01:49:06.900 24.2468 122.5825 60 4.5
132  1999-01-12 06:24:16.200 23.2957 121.7455 21 4.12
133  1999-02-13 21:47:57.400 23.8935 122.4732 24 4.41
134  1999-02-22 13:48:58.0 23.975 122.6545 30 5.71
135  1999-02-28 04:04:44.700 24.3595 121.9655 24 4.15
136  1999-03-05 21:12:27.400 23.251 120.481 18 4.02
137  1999-03-26 14:34:09.500 24.7357 122.9068 126 4.36
138  1999-04-04 04:59:02.600 24.8835 121.936 102 5.01
139  1999-04-04 13:53:01.100 24.8662 122.2125 12 4.47
140  1999-04-06 16:14:39.900 24.7615 122.2393 21 4.31
141  1999-04-10 07:52:23.500 24.0945 121.7097 18 4.47
142  1999-05-03 04:47:02.900 22.0545 120.0158 60 4.64
143  1999-05-06 13:46:23.500 21.2442 122.0328 24 4.7
144  1999-05-07 01:03:24.400 24.7388 121.8922 12 5.01
145  1999-05-11 13:58:19.0 23.9342 121.0863 24 3.65
146  1999-05-13 15:05:50.800 24.2832 122.6133 48 4.23
147  1999-05-18 03:43:22.100 22.166 121.3965 72 4.59
148  1999-06-01 01:10:01.500 24.1607 121.693 33 3.94
149  1999-06-03 16:11:42.900 24.4037 122.4868 63 5.24
150  1999-06-10 07:17:59.300 23.7252 121.7273 30 4.56
151  1999-06-20 07:24:01.100 22.8385 121.3607 21 4.12
152  1999-06-25 09:18:41.0 21.4957 119.8905 48 4.62
153  1999-07-02 16:10:08.900 21.19 120.2193 27 3.94
154  1999-07-07 13:53:13.400 23.3188 120.735 24 4.62
155  1999-07-07 14:06:29.200 23.313 120.7447 18 4.21
156  1999-07-08 08:36:38.500 23.9733 122.4208 18 4.09
157  1999-07-09 01:36:51.700 23.3217 120.7477 18 4.13
158  1999-07-11 00:44:58.300 22.9722 122.4437 18 4.19
159  1999-07-11 20:25:10.600 24.605 121.8432 75 4.38
160  1999-07-23 14:30:25.700 23.3928 120.5122 12 3.6
161  1999-08-04 21:03:51.500 22.789 121.1418 21 4.43
162  1999-08-05 12:07:05.200 24.9263 119.1825 12 4.01
163  1999-09-04 14:01:42.800 23.1058 121.0207 21 4.27
164  1999-09-10 14:18:20.800 22.4395 121.825 21 5.2
165  1999-09-16 13:44:07.200 21.1348 120.146 54 4.55
166  1999-09-16 16:12:01.100 21.3127 120.1175 42 4.7
167  1999-09-20 02:35:01.900 23.4107 120.6302 18 3.81
168  1999-09-20 18:03:40.800 23.7915 120.8763 17 6.22
169  1999-09-20 18:11:52.700 23.8502 121.0603 24 6.1
170  1999-09-20 18:16:16.500 23.8442 121.0387 20 6.11
171  1999-09-20 19:40:31.300 23.553 120.9138 15 5.41
172  1999-09-20 20:43:48.400 23.7662 121.33 12 4.84
173  1999-09-20 21:46:37.300 23.6015 120.821 19 6.29
174  1999-09-20 23:18:13.0 23.4575 120.8945 12 4.78
175  1999-09-21 00:45:40.0 23.8773 120.9878 21 4.51
176  1999-09-21 01:37:07.400 23.7163 120.7538 13 4.65
177  1999-09-21 02:24:43.800 23.9162 121.0057 18 4.08
178  1999-09-21 02:34:35.600 23.6457 120.8255 15 4.48
179  1999-09-21 02:45:40.200 24.0145 121.036 18 4.41
180  1999-09-21 03:01:29.500 24.1602 121.5913 17 4.62
181  1999-09-21 03:25:59.500 23.7157 120.7728 12 4.52
182  1999-09-21 03:31:48.100 23.9982 121.013 24 4.5
183  1999-09-21 06:36:27.200 24.0262 121.0223 23 3.98
184  1999-09-21 07:06:01.700 23.798 121.3958 13 4.67
185  1999-09-21 07:40:52.500 24.2275 121.0267 27 4.34
186  1999-09-21 07:46:04.600 24.1 121.1285 26 4.68
